Duty Date,Duty Category,Duty Type
2015-12-08,LVE,LV
2015-12-09,LVE,LV
2015-12-10,LVE,LV
2015-12-11,LVE,LV
2015-12-12,LVE,LV
2015-12-13,LVE,LV
2015-12-14,LVE,LV
2015-12-15,LVE,LV
2015-12-16,OFF,XX
2015-12-17,OFF,XX
2015-12-22,OFF,XX
2015-12-23,OFF,XX
2015-12-31,OFF,XX
2016-01-04,OFF,XX
2016-01-05,OFF,XX
2016-01-12,OFF,XX
2016-01-13,OFF,XX
2016-01-19,OFF,XX
2016-01-20,OFF,XX
2016-01-25,OFF,XX
2016-01-26,OFF,XX
2016-01-29,OFF,XX
2016-02-04,OFF,XX
2016-02-05,OFF,XX
2016-02-09,TRG,ER831
2016-02-10,TRG,ER832
2016-02-13,OFF,XX
2016-02-14,OFF,XX
2016-02-19,OFF,XX
2016-02-20,OFF,XX
2016-02-21,OFF,XX
2016-02-28,OFF,XX
2016-02-29,OFF,XX
2016-03-03,OFF,XX
2016-03-05,OFF,XX
2016-03-08,OFF,XX
2016-03-09,REST,REST
2016-03-12,OFF,XX
2016-03-13,OFF,XX
2016-03-18,OFF,XX
2016-03-19,OFF,XX
2016-03-26,OFF,XX
2016-03-27,REST,REST
2016-03-31,OFF,XX
2016-04-01,LVE,EL
2016-04-02,LVE,EL
2016-04-03,LVE,EL
2016-04-04,LVE,EL
2016-04-05,LVE,EL
2016-04-06,LVE,EL
2016-04-07,LVE,EL
2016-04-08,LVE,LV
2016-04-09,LVE,LV
2016-04-10,LVE,LV
2016-04-11,LVE,LV
2016-04-12,LVE,LV
2016-04-13,LVE,LV
