Flight Date,Flight Number,Flight Departure,Flight Arrival,Grade,Departure Date,Arrival Date,Flight Time
2012-03-28,0241,DXB,YYZ,GR2,2012-03-28 10:25:00,2012-03-28 16:23:00,14:09
2012-03-30,0242,YYZ,DXB,GR2,2012-03-30 21:37:00,2012-03-31 18:07:00,12:33
2012-04-04,0073,DXB,CDG,GR2,2012-04-04 08:41:00,2012-04-04 14:06:00,07:31
2012-04-06,0074,CDG,DXB,GR2,2012-04-06 15:40:00,2012-04-07 00:21:00,06:51
2012-04-08,0803,DXB,JED,GR2,2012-04-08 16:27:00,2012-04-08 18:16:00,02:53
2012-04-08,0804,JED,DXB,GR2,2012-04-08 20:25:00,2012-04-09 00:11:00,02:50
2012-04-12,0803,DXB,JED,GR2,2012-04-12 16:40:00,2012-04-12 18:33:00,03:01
2012-04-12,0804,JED,DXB,GR2,2012-04-12 20:33:00,2012-04-13 00:07:00,02:38
2012-04-14,0803,DXB,JED,GR2,2012-04-14 16:19:00,2012-04-14 18:00:00,02:50
2012-04-14,0804,JED,DXB,GR2,2012-04-14 20:29:00,2012-04-15 00:50:00,03:26
2012-04-16,0803,DXB,JED,GR2,2012-04-16 16:57:00,2012-04-16 18:42:00,02:51
2012-04-16,0804,JED,DXB,GR2,2012-04-16 20:37:00,2012-04-17 00:28:00,02:59
2012-04-18,0805,DXB,JED,GR2,2012-04-18 07:13:00,2012-04-18 09:09:00,03:09
2012-04-18,0806,JED,DXB,GR2,2012-04-18 10:45:00,2012-04-18 14:39:00,02:56
2012-04-21,0049,DXB,MUC,GR2,2012-04-21 08:57:00,2012-04-21 13:12:00,06:22
2012-04-22,0050,MUC,DXB,GR2,2012-04-22 15:45:00,2012-04-22 23:35:00,05:55
2012-04-24,0073,DXB,CDG,GR2,2012-04-24 08:38:00,2012-04-24 13:34:00,07:03
2012-04-25,0074,CDG,DXB,GR2,2012-04-25 15:43:00,2012-04-26 00:29:00,06:50
2012-05-03,0306,DXB,PEK,GR2,2012-05-03 04:02:00,2012-05-03 15:09:00,07:13
2012-05-04,0307,PEK,DXB,GR2,2012-05-04 23:51:00,2012-05-05 03:37:00,07:50
2012-05-11,0003,DXB,LHR,GR2,2012-05-11 14:22:00,2012-05-11 18:33:00,07:17
2012-05-12,0004,LHR,DXB,GR2,2012-05-12 20:32:00,2012-05-13 06:27:00,07:
2012-06-14,0546,DXB,MAA,GR2,2012-06-14 15:01:00,2012-06-14 20:34:00,04:08
2012-06-14,0547,MAA,DXB,GR2,2012-06-14 22:20:00,2012-06-15 00:41:00,04:05
2012-06-16,0658,DXB,MLE,GR2,2012-06-16 03:50:00,2012-06-16 09:04:00,04:20
2012-06-16,0659,MLE,DXB,GR2,2012-06-16 10:18:00,2012-06-16 13:01:00,03:49
2012-06-19,0097,DXB,FCO,GR2,2012-06-19 09:27:00,2012-06-19 13:24:00,06:
2012-06-20,0098,FCO,DXB,GR2,2012-06-20 15:12:00,2012-06-20 23:00:00,05:51
2012-06-22,0584,DXB,DAC,GR2,2012-06-22 13:32:00,2012-06-22 20:18:00,04:54
2012-06-22,0585,DAC,DXB,GR2,2012-06-22 21:37:00,2012-06-23 00:27:00,04:59
2012-06-27,0201,DXB,JFK,GR2,2012-06-27 09:03:00,2012-06-27 14:36:00,13:45
2012-06-28,0202,JFK,DXB,GR2,2012-06-28 23:03:00,2012-06-29 19:22:00,12:23
2012-07-02,0097,DXB,FCO,GR2,2012-07-02 09:31:00,2012-07-02 13:25:00,05:58
2012-07-03,0098,FCO,DXB,GR2,2012-07-03 15:32:00,2012-07-03 23:19:00,05:49
2012-07-08,0201,DXB,JFK,GR2,2012-07-08 08:40:00,2012-07-08 14:10:00,13:48
2012-07-09,0202,JFK,DXB,GR2,2012-07-09 22:56:00,2012-07-10 19:08:00,12:15
2012-07-13,0803,DXB,JED,GR2,2012-07-13 16:51:00,2012-07-13 18:17:00,02:33
2012-07-13,0804,JED,DXB,GR2,2012-07-13 21:24:00,2012-07-14 01:10:00,02:51
2012-07-18,0097,DXB,FCO,GR2,2012-07-18 09:31:00,2012-07-18 13:29:00,06:03
2012-07-19,0098,FCO,DXB,GR2,2012-07-19 15:25:00,2012-07-19 23:05:00,05:45
2012-07-29,0001,DXB,LHR,GR2,2012-07-29 07:47:00,2012-07-29 12:41:00,08:01
2012-07-30,0002,LHR,DXB,GR2,2012-07-30 17:09:00,2012-07-31 02:57:00,06:57
2012-08-02,0322,DXB,ICN,GR1,2012-08-02 03:42:00,2012-08-02 17:06:00,08:28
2012-08-03,0323,ICN,DXB,GR1,2012-08-03 23:49:00,2012-08-04 03:39:00,09:
2012-08-07,0346,DXB,KUL,GR1,2012-08-07 04:03:00,2012-08-07 14:58:00,07:04
2012-08-08,0347,KUL,DXB,GR1,2012-08-08 19:27:00,2012-08-08 21:52:00,06:28
2012-08-12,0302,DXB,PVG,GR1,2012-08-12 02:48:00,2012-08-12 15:24:00,08:42
