31-Dec-2011,OFF-XX,,,,
01-Jan-2012,OFF-XX,,,,
02-Jan-2012,OFF-XX,,,,
03-Jan-2012,0001/DXBLHR,GR2,03-Jan-2012 08:02,03-Jan-2012 12:02,08:06
04-Jan-2012,0002/LHRDXB,GR2,04-Jan-2012 13:53,05-Jan-2012 00:39,06:50
06-Jan-2012,0097/DXBFCO,GR2,06-Jan-2012 09:48,06-Jan-2012 12:59,06:19
07-Jan-2012,0098/FCODXB,GR2,07-Jan-2012 14:38,07-Jan-2012 22:55,05:21
09-Jan-2012,OFF-XX,,,,
10-Jan-2012,0201/DXBJFK,GR2,10-Jan-2012 09:07,10-Jan-2012 14:18,14:25
11-Jan-2012,0202/JFKDXB,GR2,11-Jan-2012 23:01,12-Jan-2012 20:20,12:22
13-Jan-2012,OFF-XX,,,,
14-Jan-2012,OFF-XX,,,,
15-Jan-2012,OFF-XX,,,,
16-Jan-2012,LVE-LV,,,,
17-Jan-2012,LVE-LV,,,,
18-Jan-2012,LVE-LV,,,,
19-Jan-2012,LVE-LV,,,,
20-Jan-2012,LVE-LV,,,,
21-Jan-2012,OFF-XX,,,,
22-Jan-2012,REST-REST,,,,
23-Jan-2012,0322/DXBICN,GR2,23-Jan-2012 03:38,23-Jan-2012 15:58,07:27
24-Jan-2012,0323/ICNDXB,GR2,24-Jan-2012 23:58,25-Jan-2012 05:44,10:49
26-Jan-2012,OFF-XX,,,,
27-Jan-2012,REST-REST,,,,
28-Jan-2012,0306/DXBPEK,GR2,28-Jan-2012 03:50,28-Jan-2012 14:21,06:36
29-Jan-2012,0307/PEKDXB,GR2,29-Jan-2012 22:52,30-Jan-2012 03:50,09:06
31-Jan-2012,OFF-XX,,,,
01-Feb-2012,OFF-XX,,,,
02-Feb-2012,0073/DXBCDG,GR2,02-Feb-2012 08:02,02-Feb-2012 12:15,07:28
03-Feb-2012,0074/CDGDXB,GR2,03-Feb-2012 14:39,03-Feb-2012 23:58,06:22
05-Feb-2012,0073/DXBCDG,GR2,05-Feb-2012 08:09,05-Feb-2012 12:19,07:22
06-Feb-2012,0074/CDGDXB,GR2,06-Feb-2012 16:44,07-Feb-2012 01:37,06:02
08-Feb-2012,OFF-XX,,,,
09-Feb-2012,0049/DXBMUC,GR2,09-Feb-2012 09:23,09-Feb-2012 12:43,06:28
10-Feb-2012,0050/MUCDXB,GR2,10-Feb-2012 14:44,10-Feb-2012 23:04,05:24
12-Feb-2012,OFF-XX,,,,
13-Feb-2012,OFF-XX,,,,
14-Feb-2012,OFF-XX,,,,
15-Feb-2012,OFF-XX,,,,
16-Feb-2012,LVE-LV,,,,
17-Feb-2012,LVE-LV,,,,
18-Feb-2012,LVE-LV,,,,
19-Feb-2012,LVE-LV,,,,
20-Feb-2012,LVE-LV,,,,
21-Feb-2012,LVE-LV,,,,
22-Feb-2012,LVE-LV,,,,
23-Feb-2012,OFF-XX,,,,
24-Feb-2012,OFF-XX,,,,
25-Feb-2012,OFF-XX,,,,
26-Feb-2012,OFF-XX,,,,
27-Feb-2012,0201/DXBJFK,GR2,27-Feb-2012 09:15,27-Feb-2012 14:18,14:11
28-Feb-2012,0202/JFKDXB,GR2,28-Feb-2012 22:56,29-Feb-2012 19:58,12:07
01-Mar-2012,OFF-XX,,,,
02-Mar-2012,OFF-XX,,,,
03-Mar-2012,0003/DXBLHR,GR2,03-Mar-2012 14:36,03-Mar-2012 18:05,07:38
04-Mar-2012,0004/LHRDXB,GR2,04-Mar-2012 20:21,05-Mar-2012 06:52,06:37
06-Mar-2012,REST-REST,,,,
07-Mar-2012,0306/DXBPEK,GR2,07-Mar-2012 03:42,07-Mar-2012 14:20,06:43
08-Mar-2012,0307/PEKDXB,GR2,08-Mar-2012 22:55,09-Mar-2012 03:15,08:26
10-Mar-2012,OFF-XX,,,,
11-Mar-2012,OFF-XX,,,,
12-Mar-2012,0372/DXBBKK,GR2,12-Mar-2012 09:50,12-Mar-2012 18:42,06:05
13-Mar-2012,0373/BKKDXB,GR2,13-Mar-2012 20:41,14-Mar-2012 00:42,07:04
15-Mar-2012,OFF-XX,,,,
16-Mar-2012,OFF-XX,,,,
17-Mar-2012,OFF-XX,,,,
18-Mar-2012,0372/DXBBKK,GR2,18-Mar-2012 09:44,18-Mar-2012 18:50,06:12
19-Mar-2012,0373/BKKDXB,GR2,19-Mar-2012 20:44,20-Mar-2012 00:04,06:25
21-Mar-2012,REST-REST,,,,
22-Mar-2012,0306/DXBPEK,GR2,22-Mar-2012 03:45,22-Mar-2012 14:40,07:01
23-Mar-2012,0307/PEKDXB,GR2,23-Mar-2012 22:50,24-Mar-2012 03:22,08:43
25-Mar-2012,OFF-XX,,,,
26-Mar-2012,OFF-XX,,,,
27-Mar-2012,OFF-XXR,,,,
28-Mar-2012,0241/DXBYYZ,GR2,28-Mar-2012 10:25,28-Mar-2012 16:23,14:09
